id,xcoord,ycoord
"1",217164.893145418,9041497.25967179
"1",217283.729008242,9041507.84178036
"1",217518.359898096,9041577.78100361
"1",218146.26208117,9043781.50511179
"1",218141.640010763,9043785.3973816
"1",218136.653040061,9043787.70841681
"1",218133.247303972,9043790.14108544
"1",218128.990133861,9043792.45212064
"1",218124.368063454,9043794.27662212
"1",218119.624359616,9043796.83092419
"1",221692.119883673,9048752.05530043
"1",221775.80368472,9048816.27775239
"1",221998.027964536,9048909.32732769
"1",222009.035790109,9048918.87555208
"1",222775.022326582,9049327.92878307
"1",224681.383102469,9049923.81096523
"1",225304.389539915,9050526.62625301
"1",225648.429701632,9050827.79063003
"1",225701.70514474,9050872.55173292
"1",225701.279427729,9050901.25722281
"1",225704.867613966,9050895.66208495
"1",225706.631298726,9050893.10778288
"1",225708.63825035,9050891.04001454
"1",225654.876273515,9050991.02269545
"1",225686.865866066,9050986.40062504
"1",226916.093327376,9051460.52774202
"1",229657.224345392,9053627.91386245
"1",229688.849037648,9053632.53593285
"1",229718.223511417,9053709.83397873
"1",229747.415535038,9053709.65152859
"1",229764.140131904,9053709.34744501
"1",229773.262639286,9053709.65152859
"1",229801.724862316,9053708.13111069
"1",229815.286989957,9053706.30660921
"1",229830.977702653,9053703.26577342
"1",229859.439925684,9053695.96776751
"1",229874.887371517,9053712.69236438
"1",229711.807347892,9053625.35956038
"1",230434.522791018,9053813.98260467
"1",230486.581899809,9053918.6481727
"1",230771.751480557,9053968.36583793
"1",231085.839409705,9054061.7194968
"1",231089.245145794,9054045.78551724
"1",231114.909799894,9054060.62479591
"1",234424.433844499,9053880.42486677
"1",234479.5946058,9053912.7185429
"1",234593.504314638,9053955.89841117
"1",236596.320401905,9054044.38673277
"1",236853.940010361,9057563.60681372
"1",237130.504025812,9058023.9285362
"1",237135.186912935,9058029.7061242
"1",237227.324237489,9058186.85651803
"1",237237.358995609,9058197.34740152
"1",237246.572728064,9058199.71925344
"1",237262.902016277,9058204.91908264
