"","E","N","agua_10","esg_10","lixo_10","palfac_10","rnmpr_10","v7_10,v21_10","v22_10","v3_10","v4_10","v5_10","v1_10","v8_10","uso_10","NA"
"103",213811.140143665,9031006.16332264,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"104",213814.91078005,9031009.93395903,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"105",213204.432585959,9032435.72104632,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"106",213195.431712008,9032443.44476924,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"107",213016.813017442,9032998.76220202,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"108",212994.189199132,9033037.68490019,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"109",213027.881659734,9033007.8847094,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"110",213024.962457371,9033011.53371236,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"111",213023.867756485,9033017.00721679,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"112",213020.948554123,9033021.14275347,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"113",213018.515885487,9033026.49462446,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"114",213017.299551169,9033029.90036055,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"115",213013.528914784,9033034.40079753,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"116",213013.407281353,9033040.72573598,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"117",213010.366445558,9033044.2531055,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"118",213007.812143491,9033048.87517591,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"119",213006.109275446,9033053.98378005,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"120",213003.554973379,9033058.97075075,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"121",212999.054536403,9033063.22792086,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"122",212983.607090567,9033087.55460722,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"123",212821.104825712,9033214.29664313,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"124",212882.772975624,9038254.17788883,1,1,1,1,1,1,1,1,1,1,1,1,1,15
"125",212880.46194042,9038259.52975983,1,1,1,1,1,1,1,1,1,1,1,1,1,15
"126",212878.272538648,9038263.54366308,1,1,1,1,1,1,1,1,1,1,1,1,1,15
"127",212874.866802558,9038267.67919976,1,1,1,1,1,1,1,1,1,1,1,1,1,15
"128",212872.799034218,9038272.30127017,1,1,1,1,1,1,1,1,1,1,1,1,1,15
"129",212884.5974771,9038286.04584796,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"130",212874.98843599,9038299.42552545,1,1,1,1,1,1,1,1,1,1,1,1,1,15
"131",213079.57586824,9038288.96505032,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"132",213082.738337466,9038299.18225859,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"133",213403.120796768,9038358.41773986,1,1,1,1,1,1,1,1,1,1,1,1,1,20
"134",213415.162506514,9038352.21443484,1,1,1,1,1,1,1,1,1,1,1,1,1,20
"135",213432.312820394,9038368.39168127,1,1,1,1,1,1,1,1,1,1,1,1,1,20
"136",213471.843685722,9038352.45770171,1,1,1,1,1,1,1,1,1,1,1,1,1,20
"137",213651.982798184,9038448.06157908,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"138",213661.591839295,9038453.17018322,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"139",213777.873400074,9038337.74005646,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"140",213800.375584953,9038338.71312392,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"141",214423.868556244,9038310.06845074,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"142",214432.747796764,9038312.80520295,1,1,1,1,1,1,1,1,1,1,1,1,1,21
